项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
西南区域总经理室,三大区域,西南区域,区域管理部门,西南区域总经理室,0,0,,0,0,0,0,,0,0.07,0,,0,-0.07,0,,0,,,0.00%,,112.4,149.32,75.27%,69.57,90.27,78.76,114.62%,46.24,0,0,0,0,0,0,-202.75,-228.08,111.11%,25.33,-115.81,,,0.00%,,,,75.27%,,0,0,,0,-1.8,-1.53,81.91%,-1.66,7.86,11.14,-3.29,5.71,14.31,12.18,13.4,0.9,
北部区域,三大区域,北部区域,,,"1,791.25","6,830.32",26.22%,"-5,039.07","1,107.90",177.03,"4,128.45",4.29%,243.98,567.79,756.88,75.02%,311.47,"1,046.43","1,944.99",53.80%,552.45,58.42%,28.48%,29.94%,49.86%,970.47,"1,149.82",84.40%,432.12,362.71,493.78,73.46%,165.51,2.48,0.06,5.16,3.86,0,0,-288.13,301.45,-95.58%,-589.58,-40.02,-16.09%,4.41%,-20.50%,-3.61%,54.18%,16.83%,84.40%,39.00%,1.85,5.94,31.07%,2.56,-0.3,0.26,-113.25%,-0.09,244.57,235.57,9,133.71,3.97,3.23,4.88,-0.91,营收/利润取值
周口配送,三大区域,北部区域,存量,周口配送,-835.49,385,-217.01%,"-1,220.49",3.51,-808.13,349.6,-231.16%,3.4,0.27,0,,0,-27.36,35.4,-77.29%,0.11,3.27%,9.19%,-5.92%,3.03%,36.77,61.23,60.06%,17.72,34.04,16.85,201.99%,9.71,0.17,0,0,0,0,0,-98.27,-42.69,-30.22%,-55.58,-27.32,11.76%,-11.09%,22.85%,-778.22%,-4.40%,15.91%,60.06%,504.76%,-22.72,6.29,-361.35%,0.2,-2.67,-0.7,-183.35%,-1.54,35.43,19.14,16.29,3.43,1.04,5.17,3.2,-2.16,
周口配送-团仓店,三大区域,北部区域,存量,周口配送-团仓店,0.82,0,,0.82,0,0,0,,0,0,0,,0,0.82,0,,0,100.00%,,100.00%,,1.22,0,,0,1.19,0,,0,0,0,0,0,0,0,-1.59,0,0.00%,-1.59,0,-193.90%,,-193.90%,,148.99%,,,,0.67,-1,267.12%,,-1.3,-1,69.85%,,0,0,0,0,,,,,
长治配送,三大区域,北部区域,增量,长治配送,325.51,997.6,32.63%,-672.09,0,278.02,806.82,34.46%,0,0,0,,0,47.49,190.78,24.89%,0,14.59%,19.12%,-4.54%,,58.39,63.82,91.49%,0,91.81,62.99,145.75%,0,0,0,0,0,0,0,-102.71,63.97,-160.57%,-166.68,0,-31.55%,6.41%,-37.97%,,17.94%,6.40%,91.49%,,5.57,15.63,35.66%,,-1.76,1,-175.50%,,19.29,0,19.29,0,3.03,,,,
南阳配送,三大区域,北部区域,增量,南阳配送,400.89,"1,750.00",22.91%,"-1,349.11",0,325.9,"1,401.50",23.25%,0,0.43,0,,0,74.99,348.5,21.52%,0,18.71%,19.91%,-1.21%,,44.04,122.15,36.05%,0,41.9,131.87,31.77%,0,0.03,0,0,0.04,0,0,-11.4,94.48,-12.07%,-105.88,0,-2.84%,5.40%,-8.24%,,10.98%,6.98%,36.05%,,9.1,14.33,63.54%,,-0.26,0.77,-33.47%,,12.71,32.14,-19.43,0,3.46,,3.8,-0.34,
房山区配送,三大区域,北部区域,增量,房山区配送,0,"1,490.82",0.00%,"-1,490.82",0,0,"1,193.38",0.00%,0,0,0,,0,0,297.44,0.00%,0,,19.95%,-19.95%,,39.17,99.6,39.33%,0,7.55,125.73,6.00%,0,0,0,0,0,0,0,-46.71,72.11,-64.77%,-118.82,0,,4.84%,-4.84%,,,6.68%,39.33%,,0,14.97,0.00%,,-1.19,0.72,-164.71%,,2.29,0,2.29,0,17.14,,,,
玉门一中食堂,三大区域,北部区域,存量,玉门一中食堂,510.67,663,77.02%,-152.33,592.99,-0.14,0,,0,247.53,366,67.63%,311.47,263.28,297,88.65%,281.52,51.56%,44.80%,6.76%,47.47%,170.13,184.59,92.17%,184.6,54.64,50.26,108.72%,68.87,0,0,5.03,0.07,0,0,38.44,62.15,61.85%,-23.71,33.08,7.53%,9.37%,-1.85%,5.58%,33.32%,27.84%,92.17%,31.13%,3,3.59,83.57%,3.21,0.23,0.34,67.10%,0.18,47.57,57,-9.43,62.14,3.58,2.97,3.24,0.34,
玉门一中后勤,三大区域,北部区域,存量,玉门一中后勤,142.44,155.19,91.78%,-12.75,148,0,0,,0,0,0,,0,8.69,10.24,84.83%,23.39,6.10%,6.60%,-0.50%,15.80%,133.75,144.95,92.28%,124.61,6.02,1.49,403.47%,42.77,0,0,0,0,0,0,2.67,8.75,30.52%,-6.08,-19.38,1.87%,5.64%,-3.76%,-13.09%,93.90%,93.40%,92.28%,84.20%,1.06,1.07,99.47%,1.19,0.02,0.06,33.07%,-0.16,46.43,56,-9.57,53.14,2.88,2.34,2.59,0.29,
皓峰玉门一中店,三大区域,北部区域,存量,皓峰玉门一中店,323.42,343.88,94.05%,-20.46,299.38,230.18,243.42,94.56%,212.32,0,0,,0,93.24,100.46,92.82%,87.06,28.83%,29.21%,-0.38%,29.08%,20.81,22.36,93.09%,21.01,1.74,1.38,126.09%,1.68,0.08,0.06,0.07,0,0,0,70.77,76.78,92.17%,-6.01,64.44,21.88%,22.33%,-0.45%,21.52%,6.43%,6.50%,93.09%,7.02%,15.54,15.38,101.03%,14.25,3.4,3.43,99.01%,3.07,6.86,8,-1.14,8,3.04,2.63,2.79,0.24,
玉门一中项目本级,三大区域,北部区域,存量,玉门一中项目本级,0,0,,0,0,0.17,0,,0,0,0,,0,-0.17,0,,0,,,0.00%,,18.96,17.17,110.41%,13.72,1.34,0.39,345.32%,1.58,1.37,0,0.04,0,0,0,-19.09,-17.56,91.26%,-1.53,-15.26,,,0.00%,,,,110.41%,,0,0,,0,-1.01,-1.02,101.51%,-1.11,2,2,0,0.57,9.48,24.01,8.58,0.89,
兰州新区餐饮项目,三大区域,北部区域,增量,兰州新区餐饮项目,332.06,467.8,70.98%,-135.74,0,0,0,,0,211.64,269.21,78.61%,0,120.42,198.59,60.64%,0,36.27%,42.45%,-6.19%,,107.04,77.95,137.32%,0,35.3,68.47,51.55%,0,0.22,0,0,0.01,0,0,-21.69,52.17,-41.58%,-73.86,0,-6.53%,11.15%,-17.68%,,32.24%,16.66%,137.32%,,3.1,6,51.69%,,-0.2,0.67,-30.28%,,28.29,22.29,6,0,3.78,,3.5,0.29,
兰州新区便利店项目,三大区域,北部区域,增量,兰州新区便利店项目,203.12,120,169.27%,83.12,0,149.53,86.73,172.40%,0,0,0,,0,53.59,33.27,161.09%,0,26.38%,27.72%,-1.34%,,10.38,9.75,106.49%,0,2.16,0.51,422.12%,0,0.5,0,0,0.01,0,0,41.54,23,180.57%,18.54,0,20.45%,19.17%,1.28%,,5.11%,8.12%,106.49%,,19.56,12.31,158.95%,,4,2.36,169.56%,,4.29,2.86,1.43,0,2.42,,3.41,-0.99,
腾飞路小学食堂,三大区域,北部区域,增量,腾飞路小学食堂,201.78,206.02,97.94%,-4.24,0,0,0,,0,107.92,121.67,88.70%,0,93.86,84.35,111.27%,0,46.52%,40.94%,5.57%,,54.4,58.2,93.48%,0,11.67,9.8,119.06%,0,0.1,0,0,0,0,0,27.89,16.36,170.52%,11.53,0,13.82%,7.94%,5.88%,,26.96%,28.25%,93.48%,,3.71,3.54,104.77%,,0.51,0.28,182.42%,,16.57,21.71,-5.14,0,3.28,,2.68,0.6,
周口示范区物业,三大区域,北部区域,增量,周口示范区物业,177.45,201,88.28%,-23.55,0,0,0,,0,0,0,,0,29.27,20.29,144.26%,0,16.49%,10.09%,6.40%,,148.18,180.71,82.00%,0,11.22,1.25,897.96%,0,0,0,0,0,0,0,18.05,19.04,94.81%,-0.99,0,10.17%,9.47%,0.70%,,83.51%,89.91%,82.00%,,1.2,1.11,107.66%,,0.12,0.11,115.62%,,13,0,13,0,11.4,,,,
达拉特旗校服,三大区域,北部区域,存量,达拉特旗校服,5.2,50,10.40%,-44.8,25.55,1.5,47,3.19%,0,0,0,,0,3.7,3,123.38%,25.55,71.18%,6.00%,65.18%,100.00%,0,0,,0,0,0,,0,0,0,0,0,0,0,3.7,3,123.33%,0.7,25.55,71.15%,6.00%,65.15%,100.00%,0.00%,0.00%,,0.00%,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
北部新拓配送业务2,三大区域,北部区域,增量,北部新拓配送业务2,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
北部新拓配送业务3,三大区域,北部区域,增量,北部新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西安吉利便利店,三大区域,北部区域,存量,西安吉利便利店,0,0,,0,38.48,0,0,,28.19,0,0,,0,0,0,,10.29,,,0.00%,26.75%,0,0,,7.94,1.18,1.31,90.04%,18.43,0,0,0.02,3.73,0,0,-4.91,-1.31,-175.87%,-3.6,-16.06,,,0.00%,-41.75%,,,,20.63%,-1,-1,100.00%,4.85,-1,-1,100.00%,-2.02,0,0,0,2.57,,3.09,,,
北部区域总经理室,三大区域,北部区域,区域管理部门,北部区域总经理室,3.39,0,,3.39,0,0,0,,0.07,0,0,,0,3.39,0,,-0.07,100.00%,,100.00%,,127.22,107.34,118.51%,62.52,60.96,21.47,283.89%,22.47,0,0,0,0,0,0,-184.79,-128.82,56.55%,-55.97,-85.06,-5451.03%,,-5451.03%,,3752.72%,,118.51%,,0.03,0,,0,-1.45,-1.2,78.96%,-1.36,9.86,7,2.86,3.86,12.91,16.21,15.33,-2.43,
东部区域,三大区域,东部区域,,,"6,994.16","10,497.76",66.63%,"-3,503.60",811.5,"5,590.97","8,133.77",68.74%,473.06,46.26,76.18,60.72%,83.35,"1,356.93","2,287.81",59.31%,255.08,19.40%,21.79%,-2.39%,31.43%,"1,039.43","1,085.41",95.76%,291.04,499.46,624.04,80.04%,53.74,2.71,0,0.34,0.06,0,0.78,-179.31,578.36,-31.00%,-757.67,-90.13,-2.56%,5.51%,-8.07%,-11.11%,14.86%,10.34%,95.76%,35.86%,6.73,9.67,69.57%,2.79,-0.17,0.53,-32.37%,-0.31,257.43,204.43,53,58.57,4.04,4.97,5.31,-1.27,营收/利润取值
亳州配送,三大区域,东部区域,存量,亳州配送,"4,506.07","3,948.14",114.13%,557.93,0,"3,884.48","3,226.90",120.38%,0,0,0,,0,621.59,721.24,86.18%,0,13.79%,18.27%,-4.47%,,207.9,258.06,80.56%,0,271.05,227.38,119.21%,0,2.68,0,0,0.01,0,0,145.3,235.8,61.62%,-90.5,0,3.22%,5.97%,-2.75%,,4.61%,6.54%,80.56%,,21.67,15.3,141.67%,,0.7,0.91,76.48%,,59.43,62,-2.57,0,3.5,,4.16,-0.66,
嘉祥配送,三大区域,东部区域,存量,嘉祥配送,"1,066.32","1,173.00",90.91%,-106.68,480.34,972.24,"1,046.37",92.92%,464.39,0,0,,0,94.08,126.63,74.30%,15.95,8.82%,10.80%,-1.97%,3.32%,67.61,74.03,91.32%,44.21,36.89,34.2,107.86%,30.48,0,0,0,0.02,0,0,-10.44,18.39,-56.76%,-28.83,-58.75,-0.98%,1.57%,-2.55%,-12.23%,6.34%,6.31%,91.32%,9.20%,15.77,15.84,99.54%,10.86,-0.15,0.25,-62.15%,-1.33,15.14,19,-3.86,13.29,4.46,3.33,3.9,0.57,
利辛配送,三大区域,东部区域,存量,利辛配送,826.76,"1,342.06",61.60%,-515.3,0,691.77,"1,116.88",61.94%,0,0.56,0,,0,134.99,225.18,59.95%,0,16.33%,16.78%,-0.45%,,67.19,66.66,100.80%,0,84.6,112.53,75.18%,0,0,0,0,0.02,0,0,-17.37,45.99,-37.77%,-63.36,0,-2.10%,3.43%,-5.53%,,8.13%,4.97%,100.80%,,12.3,20.13,61.12%,,-0.26,0.69,-37.47%,,11.29,0,11.29,0,5.95,,,,
鸠江配送,三大区域,东部区域,增量,鸠江配送,42.4,970.5,4.37%,-928.1,0,39.63,786.16,5.04%,0,0,0,,0,2.77,184.34,1.50%,0,6.54%,18.99%,-12.46%,,10.14,55,18.44%,0,7.69,57.64,13.34%,0,0,0,0,0,0,0,-15.05,71.7,-20.99%,-86.75,0,-35.50%,7.39%,-42.88%,,23.91%,5.67%,18.44%,,4.18,17.65,23.70%,,-1.48,1.3,-113.86%,,0.57,0,0.57,0,17.74,,,,
武夷山餐饮项目,三大区域,东部区域,存量,武夷山餐饮项目,85.9,148.26,57.94%,-62.36,169.49,0,0,,0,42.97,76.18,56.40%,83.35,42.93,72.08,59.56%,86.13,49.98%,48.62%,1.36%,50.82%,25.15,31.58,79.64%,33.22,5.81,7.48,77.66%,0.5,0,0,0.17,0,0,0,11.97,33.02,36.25%,-21.05,52.59,13.93%,22.27%,-8.33%,31.03%,29.28%,21.30%,79.64%,19.60%,3.42,4.69,72.75%,5.1,0.48,1.05,45.52%,1.58,5.29,9.86,-4.57,8,4.76,4.15,3.2,1.55,
武夷山物业项目,三大区域,东部区域,存量,武夷山物业项目,13.02,15.36,84.77%,-2.34,50.92,0,0,,0,0,0,,0,0.38,0.2,188.21%,4.72,2.95%,1.33%,1.62%,9.28%,12.64,15.16,83.37%,46.2,0,0,,0.23,0,0,0,0,0,0,0.38,0.2,185.89%,0.18,4.49,2.92%,1.33%,1.59%,8.83%,97.05%,98.67%,83.37%,90.72%,1.03,1.01,101.67%,1.1,0.03,0.01,222.97%,0.1,3.71,13.71,-10,12.14,3.4,3.8,1.11,2.3,
武夷山便利店项目,三大区域,东部区域,存量,武夷山便利店项目,3.63,35,10.37%,-31.37,25.27,2.85,24.5,11.64%,8.67,0,0,,0,0.78,10.5,7.41%,16.6,21.44%,30.00%,-8.56%,65.68%,2.55,2.51,101.37%,4.62,0.7,2.93,23.91%,2.18,0.03,0,0.16,0,0,0,-2.44,5.06,-48.24%,-7.5,9.96,-67.22%,14.45%,-81.67%,39.42%,70.12%,7.17%,101.37%,18.26%,1.43,13.94,10.23%,5.48,-0.96,2.01,-47.59%,2.16,0.86,1,-0.14,1.71,2.97,2.69,2.51,0.46,
亳州食堂雇员派遣,三大区域,东部区域,增量,亳州食堂雇员派遣,450.07,360,125.02%,90.07,0,0,0,,0,2.73,0,,0,-79.1,53.71,-147.27%,0,-17.57%,14.92%,-32.49%,,529.17,306.29,172.76%,0,40.65,25.08,162.07%,0,0,0,0,0,0,0,-122.48,28.62,-427.90%,-151.1,0,-27.21%,7.95%,-35.16%,,117.57%,85.08%,172.76%,,0.85,1.18,72.36%,,-0.23,0.09,-247.68%,,152,65.29,86.71,0,3.48,,4.69,-1.21,
济宁高新区配送,三大区域,东部区域,增量,济宁高新区配送,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
东部新拓配送业务1,三大区域,东部区域,增量,东部新拓配送业务1,0,"2,505.44",0.00%,"-2,505.44",0,0,"1,932.96",0.00%,0,0,0,,0,0,572.48,0.00%,0,,22.85%,-22.85%,,0,153.66,0.00%,0,0,130.19,0.00%,0,0,0,0,0,0,0,0,288.63,0.00%,-288.63,0,,11.52%,-11.52%,,,6.13%,0.00%,,-1,16.31,-6.13%,,-1,1.88,-53.24%,,0,26,-26,0,,,5.91,,
东部新拓配送业务3,三大区域,东部区域,增量,东部新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
东部新拓配送业务5,三大区域,东部区域,增量,东部新拓配送业务5,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
帕瓦项目,三大区域,东部区域,存量,帕瓦项目,0,0,,0,85.48,0,0,,0,0,0,,0,-1.49,0,,-11.95,,,0.00%,-13.98%,1.49,0,,97.43,0.26,0,,1.27,0,0,0,0,0,0.78,-1.74,0,0.00%,-1.74,-14,,,0.00%,-16.38%,,,,113.98%,0,-1,200.00%,0.88,-1.17,-1,83.05%,-0.14,0,0,0,19.86,,4.91,,,
东部区域总经理室,三大区域,东部区域,区域管理部门,东部区域总经理室,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,115.61,122.45,94.41%,65.36,51.82,26.6,194.78%,19.07,0,0,0,0,0,0,-167.43,-149.06,87.67%,-18.37,-84.43,,,0.00%,,,,94.41%,,0,0,,0,-1.45,-1.22,81.02%,-1.29,9.14,7.57,1.57,3.57,12.64,18.3,16.17,-3.53,
西南区域,三大区域,西南区域,,,"10,150.74","12,974.26",78.24%,"-2,823.52","5,836.59","7,232.74","9,328.24",77.54%,"3,692.33",660.33,646.48,102.14%,628.05,"2,257.67","2,999.55",75.27%,"1,516.20",22.24%,23.12%,-0.88%,25.98%,"1,331.49","1,469.37",90.62%,594.03,993.95,961.55,103.37%,370.74,25.99,0.51,4.72,19.55,2,0.01,-61.33,567.13,-10.81%,-628.46,556.13,-0.60%,4.37%,-4.98%,9.53%,13.12%,11.33%,90.62%,10.18%,7.62,8.83,86.34%,9.83,-0.05,0.39,-11.93%,0.94,393.29,281.14,112.14,199.57,3.39,2.98,5.23,-1.84,营收/利润取值
景东配送,三大区域,西南区域,存量,景东配送,"3,471.83","3,534.66",98.22%,-62.83,"3,287.74","3,007.51","3,029.99",99.26%,"2,724.47",5.76,7.05,81.64%,0.77,464.32,504.67,92.00%,562.5,13.37%,14.28%,-0.90%,17.11%,139.8,172.96,80.83%,186.63,183.16,159.2,115.05%,152.29,1.17,0,1.12,0.44,2,0.01,136.33,163.46,83.40%,-27.13,224.68,3.93%,4.62%,-0.70%,6.83%,4.03%,4.89%,80.83%,5.68%,24.83,20.44,121.52%,17.62,0.98,0.95,103.18%,1.2,30.43,43,-12.57,37.29,4.59,5.01,4.02,0.57,
江陵配送,三大区域,西南区域,存量,江陵配送,"2,040.75","2,446.35",83.42%,-405.6,468.25,"1,679.46","1,897.82",88.49%,378.88,1.04,0,,0,361.29,548.53,65.86%,89.37,17.70%,22.42%,-4.72%,19.09%,120.68,154.63,78.05%,25.78,309.95,312.43,99.21%,58.01,0.55,0,0,0,0,0,-69.84,81.47,-85.73%,-151.31,5.58,-3.42%,3.33%,-6.75%,1.19%,5.91%,6.32%,78.05%,5.51%,16.91,15.82,106.88%,18.17,-0.58,0.53,-109.84%,0.22,26.86,38,-11.14,12,4.49,2.15,4.07,0.42,
陆良配送,三大区域,西南区域,存量,陆良配送,"1,795.39","2,579.96",69.59%,-784.57,0,"1,535.77","2,040.37",75.27%,0,7.9,10.6,74.52%,0,259.62,539.59,48.12%,0,14.46%,20.91%,-6.45%,,132.55,182.45,72.65%,0,185.48,230.07,80.62%,0,1.05,0,0,0,0,0,-65.25,116.47,-56.02%,-181.72,0,-3.63%,4.51%,-8.15%,,7.38%,7.07%,72.65%,,13.54,14.14,95.79%,,-0.49,0.64,-77.11%,,38.43,50,-11.57,0,3.45,,3.65,-0.2,
镇沅配送,三大区域,西南区域,增量,镇沅配送,224.33,895.04,25.06%,-670.71,0,213.14,860.42,24.77%,0,0,0,,0,11.19,34.62,32.33%,0,4.99%,3.87%,1.12%,,6.65,6.62,100.45%,0,1.4,3.21,43.56%,0,0,0,0,0,0,0,3.15,24.79,12.70%,-21.64,0,1.40%,2.77%,-1.37%,,2.96%,0.74%,100.45%,,33.75,135.24,24.95%,,0.47,3.75,12.65%,,0.43,0,0.43,0,15.51,,,,
长顺配送,三大区域,西南区域,增量,长顺配送,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,1.09,0,,0,0.15,0,,0,0,0,0,0,0,0,-1.25,0,0.00%,-1.25,0,,,0.00%,,,,,,0,-1,200.00%,,-1.14,-1,85.65%,,0.14,0,0.14,0,7.65,,,,
康铭景东一中餐厅,三大区域,西南区域,存量,康铭景东一中餐厅,460.42,515.01,89.40%,-54.59,502.97,-0.35,0,,0,296.36,335.68,88.29%,246.48,164.41,179.33,91.68%,256.49,35.71%,34.82%,0.89%,51.00%,99.34,107.37,92.52%,120.68,78,42.01,185.65%,24.67,0.4,0,1.96,0.16,0,0,-12.7,29.95,-42.41%,-42.65,113.1,-2.76%,5.82%,-8.57%,22.49%,21.58%,20.85%,92.52%,23.99%,4.63,4.8,96.62%,4.17,-0.13,0.28,-45.83%,0.94,32.29,38,-5.71,39,3.08,3.09,2.83,0.25,
元谋一中食堂,三大区域,西南区域,存量,元谋一中食堂,437.2,434.63,100.59%,2.57,443.36,0,0,,0,319.21,293.15,108.89%,212.27,117.99,141.47,83.40%,231.09,26.99%,32.55%,-5.56%,52.12%,79.44,88.2,90.07%,82.38,89.34,20.73,431.03%,33.72,18.22,0,0.14,18.21,0,0,-50.79,32.55,-156.05%,-83.34,115.12,-11.62%,7.49%,-19.11%,25.97%,18.17%,20.29%,90.07%,18.58%,5.5,4.93,111.68%,5.38,-0.64,0.37,-173.25%,1.4,30.71,36,-5.29,36.57,2.59,2.25,2.45,0.14,
皓峰无量初中店,三大区域,西南区域,存量,皓峰无量初中店,174.46,126.72,137.67%,47.74,74.71,120.35,88.93,135.33%,50.73,0,0,,0,54.11,37.79,143.19%,23.98,31.02%,29.82%,1.20%,32.10%,7.78,5.58,139.41%,2.79,4.7,6.39,73.46%,1.03,0.32,0,0.37,0.01,0,0,41.94,25.82,162.46%,16.12,20.52,24.04%,20.37%,3.67%,27.47%,4.46%,4.41%,139.41%,3.74%,22.41,22.7,98.75%,26.74,5.39,4.62,116.53%,7.35,3,3,0,1.71,2.59,1.63,1.86,0.73,
皓峰景东彝族海高店,三大区域,西南区域,存量,皓峰景东彝族海高店,334.01,388.31,86.02%,-54.3,382.61,228.85,273,83.83%,261.17,0,0,,0,105.16,115.31,91.20%,121.44,31.48%,29.70%,1.79%,31.74%,18.92,18.44,102.60%,19.88,6.34,3.39,187.00%,2.97,1.4,0,0.26,0.62,0,0,80.68,93.48,86.31%,-12.8,98.84,24.15%,24.07%,0.08%,25.83%,5.67%,4.75%,102.60%,5.20%,17.65,21.05,83.83%,19.24,4.26,5.07,84.12%,4.97,5.14,6,-0.86,6,3.68,3.31,3.07,0.61,
皓峰景东一中店,三大区域,西南区域,存量,皓峰景东一中店,266.91,194.57,137.18%,72.34,225.15,185.73,130.98,141.80%,151.86,0,0,,-10.65,81.18,63.59,127.66%,83.94,30.42%,32.68%,-2.27%,37.28%,18.58,21.42,86.73%,32.64,7.97,13.03,61.16%,5.78,1.69,0.28,0.42,0.01,0,0,56.32,29.43,191.38%,26.89,45.93,21.10%,15.12%,5.98%,20.40%,6.96%,11.01%,86.73%,14.50%,14.37,9.08,158.17%,6.9,3.03,1.37,220.67%,1.41,5.71,7,-1.29,8,3.25,4.08,3.06,0.19,
皓峰天等海高店,三大区域,西南区域,存量,皓峰天等海高店,302.32,245.89,122.95%,56.43,179.55,208.42,171.54,121.50%,125.22,0,0,,0,93.9,74.35,126.29%,54.32,31.06%,30.24%,0.82%,30.26%,14.37,15.86,90.56%,14.42,5.95,6.78,87.66%,6.47,1.2,0.23,0.25,0.1,0,0,74.69,51.94,143.81%,22.75,33.68,24.71%,21.12%,3.58%,18.76%,4.75%,6.45%,90.56%,8.03%,21.04,15.5,135.76%,12.45,5.2,3.27,158.80%,2.34,5,6,-1,4.71,2.87,3.06,2.64,0.23,
天等高中物业服务,三大区域,西南区域,增量,天等高中物业服务,7.73,18.03,42.86%,-10.3,0,0,0,,0,0,0,,0,7.73,18.03,42.85%,0,99.97%,100.00%,-0.03%,,0,0,,0,6.52,8.13,80.29%,0,0,0,0,0,0,0,1.2,9.91,12.11%,-8.71,0,15.52%,54.95%,-39.42%,,0.03%,0.00%,,,"3,718.13",-1,372013.37%,,577.2,-1,57920.06%,,0,0,0,0,,,,,
红培基地劳务派遣,三大区域,西南区域,增量,红培基地劳务派遣,77.78,78.39,99.22%,-0.61,0,0,0,,0,1.67,0,,0,-14.76,2.44,-604.78%,0,-18.97%,3.11%,-22.08%,,92.54,75.95,121.84%,0,1.13,0.36,313.46%,0,0,0,0,0,0,0,-17.55,2.08,-843.75%,-19.63,0,-22.56%,2.65%,-25.22%,,118.97%,96.89%,121.84%,,0.84,1.03,81.44%,,-0.19,0.03,-692.51%,,24.29,0,24.29,0,3.81,,,,
若尔盖食堂劳务外包,三大区域,西南区域,增量,若尔盖食堂劳务外包,491.45,490.75,100.14%,0.7,0,0,0,,0,1.64,0,,0,7.43,49.91,14.89%,0,1.51%,10.17%,-8.66%,,484.02,440.84,109.79%,0,18.12,17.2,105.33%,0,0,0,0,0,0,0,-12.33,32.71,-37.70%,-45.04,0,-2.51%,6.66%,-9.17%,,98.49%,89.83%,109.79%,,1.02,1.11,91.21%,,-0.03,0.07,-34.33%,,180,0,180,0,2.69,,,,
西南元谋集采项目,三大区域,西南区域,存量,西南元谋集采项目,51.54,0,,51.54,0,53.35,0,,0,0,0,,0,-1.81,0,,0,-3.51%,,-3.51%,,0,0,,0,0,0,,0,0,0,0,0,0,0,-1.81,0,0.00%,-1.81,0,-3.51%,,-3.51%,,0.00%,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西南新拓配送业务3,三大区域,西南区域,增量,西南新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西南新拓配送业务2,三大区域,西南区域,增量,西南新拓配送业务2,0,"1,024.06",0.00%,"-1,024.06",0,0,835.2,0.00%,0,0,0,,0,0,188.86,0.00%,0,,18.44%,-18.44%,,0,29.72,0.00%,0,0,57.33,0.00%,0,0,0,0,0,0,0,0,101.81,0.00%,-101.81,0,,9.94%,-9.94%,,,2.90%,0.00%,,-1,34.46,-2.90%,,-1,3.43,-29.19%,,0,17.14,-17.14,0,,,1.73,,
